time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2017-08-14T05:23:35.000Z,60.385920,5.218073,48.6,10.7,11.44,18.066235,0,gps,1.70,0.90,1.92,,,,,95.0,
2017-08-14T05:23:46.000Z,60.385540,5.217313,48.9,7.0,4.27,13.585578,7,gps,1.55,1.71,2.31,,,,,95.0,
2017-08-14T05:23:57.000Z,60.385605,5.217583,89.0,6.0,19.22,2.1098464,9,gps,1.51,1.52,2.15,,,,,95.0,
2017-08-14T05:24:30.000Z,60.385710,5.217512,94.3,2.8,331.15,3.253559,14,gps,0.79,1.07,1.33,,,,,95.0,
2017-08-14T05:24:41.000Z,60.386000,5.217113,98.6,2.5,251.56,4.5244083,13,gps,0.87,1.16,1.45,,,,,95.0,
2017-08-14T05:24:52.000Z,60.385693,5.216640,95.9,2.3,167.76,6.081443,14,gps,0.79,1.13,1.38,,,,,95.0,
2017-08-14T05:25:03.000Z,60.385188,5.217112,96.1,2.2,149.38,5.9862194,16,gps,0.66,0.91,1.13,,,,,95.0,
2017-08-14T05:25:14.000Z,60.384702,5.217883,101.1,2.1,142.46,5.901805,15,gps,0.70,0.95,1.18,,,,,95.0,
2017-08-14T05:25:25.000Z,60.384212,5.218533,100.2,2.2,150.74,5.7211375,15,gps,0.70,0.95,1.18,,,,,95.0,
2017-08-14T05:25:36.000Z,60.383722,5.219087,103.7,2.3,162.96,5.5409846,15,gps,0.70,0.95,1.18,,,,,95.0,
2017-08-14T05:25:47.000Z,60.383287,5.219490,106.6,2.2,164.69,4.546541,18,gps,,,,,,,,95.0,
2017-08-14T05:25:58.000Z,60.382847,5.219862,111.7,1.8,158.24,4.8697867,18,gps,0.60,0.65,0.88,,,,,95.0,
2017-08-14T05:26:09.000Z,60.382405,5.220215,115.3,1.8,158.69,4.736474,18,gps,0.60,0.86,1.04,,,,,95.0,
2017-08-14T05:26:20.000Z,60.381968,5.220583,118.3,1.7,148.8,4.777137,19,gps,0.57,0.82,1.00,,,,ON_BICYCLE,95.0,
2017-08-14T05:26:31.000Z,60.381568,5.221130,120.6,1.6,136.96,4.9737606,19,gps,0.60,0.88,1.06,,,,,95.0,
2017-08-14T05:26:42.000Z,60.381210,5.221863,121.0,1.6,133.79,5.184797,20,gps,0.58,0.87,1.04,,,,ON_BICYCLE,95.0,
2017-08-14T05:26:53.000Z,60.380832,5.222605,120.1,1.6,133.47,6.021735,18,gps,0.70,1.03,1.25,,,,,95.0,
2017-08-14T05:27:04.000Z,60.380357,5.223530,119.5,1.5,140.83,6.6239605,18,gps,0.66,0.72,0.98,,,,,95.0,
2017-08-14T05:27:14.000Z,60.379863,5.224077,119.4,1.6,159.64,6.1766667,19,gps,,,,,,,,95.0,
